State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Feline Total Intakes,Feline Total Euth,Canine Total Intake,Canine Total Euth
AK,2019,850,1786,32,67,68,1689,353,0,25,0,56,2,68,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803,545,0,0
AL,2019,5006,7199,811,16,467,7582,140,744,1104,0,423,31,21,2663,6383,13978,1784,113,494,9484,2895,15,5927,1,310,27,111,3094,13499,2684,22752,3205
AR,2019,1131,3618,158,3,259,3630,557,48,382,228,111,3,1,398,1553,7211,261,2,420,3712,3367,0,1765,472,62,1,4,464,5169,399,9447,468
AZ,2019,11933,14168,1367,555,2042,20098,508,443,1794,1203,940,50,477,3708,21098,29033,5675,1898,3810,35632,11501,578,8344,391,590,78,1677,3044,30065,4185,61514,4721
CA,2019,24213,120718,19659,1701,4599,89620,3828,7847,21573,4074,4625,691,1718,35204,34685,101945,17380,4452,9414,81442,36732,133,26418,1831,1116,185,4327,15031,170890,36922,167876,19358
CO,2019,12361,16628,7201,420,3924,27927,2010,2409,2659,502,664,42,405,3578,9750,16805,10897,975,4544,23096,12471,380,2649,328,280,41,937,2689,40534,3983,42971,3626
CT,2019,880,992,935,109,183,2589,32,56,156,18,50,0,95,98,394,345,1540,152,163,1834,248,0,237,38,16,0,155,44,3099,193,2594,199
DC,2019,958,2296,421,382,928,3318,154,430,145,3,94,4,252,277,875,1461,694,705,416,2435,680,1,180,9,28,0,555,315,4985,529,4151,870
DE,2019,479,532,29,0,14,875,20,15,93,3,49,0,0,74,201,87,203,0,0,470,36,0,0,0,3,1,0,12,1054,74,491,12
FL,2019,22963,73305,11234,2915,17358,68842,2618,20912,11092,1254,4100,433,2099,16476,25271,46855,15333,5638,6790,59586,14542,7,12535,1148,608,81,5033,6401,127775,18575,99887,11434
GA,2019,10082,12950,9023,89,4168,22013,568,1152,7296,64,1367,32,84,3674,11233,16543,9900,192,5926,25294,5202,1,9405,95,359,40,192,3362,36312,3758,43794,3554
HI,2019,2801,12810,0,99,9,4889,1313,552,740,0,184,123,99,7719,3549,5862,251,96,107,4761,3062,0,639,0,42,5,79,1180,15719,7818,9865,1259
IA,2019,4194,6333,211,327,1249,7882,518,880,751,62,646,14,319,1216,3059,3671,992,590,1407,5379,2858,0,250,27,68,4,608,508,12314,1535,9719,1116
ID,2019,3806,10807,902,293,2060,10134,450,1345,1126,862,398,80,287,3011,3819,6739,2873,514,1250,8446,4287,0,581,524,66,7,502,685,17868,3298,15195,1187
IL,2019,5753,7414,8246,107,950,18746,354,107,589,30,767,5,107,2289,4448,3635,13280,263,1346,18120,1895,0,491,46,253,16,254,1543,22470,2396,22972,1797
IN,2019,12326,19816,4851,408,3923,24021,1098,3696,4983,581,1175,91,349,4628,9139,16245,3648,927,3388,16199,8237,0,4656,173,215,95,773,2684,41324,4977,33347,3457
KS,2019,6044,5402,5023,217,266,11185,634,2,2365,160,471,6,224,1848,4782,7309,4600,606,194,9438,3896,0,2406,10,52,6,589,1106,16952,2072,17491,1695
KY,2019,6453,11310,3349,155,580,11610,338,1790,3127,137,517,11,132,3893,6861,10684,4383,305,813,10717,3288,0,6713,54,165,11,246,1440,21847,4025,23046,1686
LA,2019,4724,17040,1790,183,3018,9586,384,2787,4885,462,1370,229,128,6616,6706,12675,2582,584,3985,8531,3706,19,7605,161,322,112,434,4693,26755,6744,26532,5127
MA,2019,4153,3085,3065,384,419,9079,354,204,123,20,74,3,308,741,1768,542,3440,415,1565,6343,368,0,174,7,16,0,399,403,11106,1049,7730,802
MD,2019,2521,5853,1371,100,485,6043,343,40,1995,65,341,17,94,1476,2539,3842,1157,335,1678,4740,2247,0,1241,58,56,1,326,838,10330,1570,9551,1164
ME,2019,2317,1816,2482,49,171,6152,200,2,126,9,128,2,23,182,841,892,2791,75,32,3528,729,0,83,8,17,0,59,119,6835,205,4631,178
MI,2019,12114,13035,2695,1486,1046,23207,722,464,1735,153,622,17,1527,1835,6389,7466,7754,2646,1315,15331,4034,1,1101,100,131,5,2695,1917,30376,3362,25570,4612
MN,2019,3312,4582,2447,33,1661,8835,383,496,1324,1,243,7,41,552,1846,1867,2484,1,399,5031,1219,1,218,10,26,0,40,122,12035,593,6597,162
MO,2019,4912,5935,2902,3,1024,12234,856,228,192,4,411,24,92,626,5139,7171,4454,19,1019,12918,2920,2,1165,1,155,18,73,604,14776,718,17802,677
MS,2019,2401,3490,1495,56,137,5208,83,33,804,264,231,18,51,972,5145,7304,3996,234,335,5872,1211,0,8402,3,163,32,257,1221,7579,1023,17014,1478
MT,2019,2876,3500,343,33,528,5750,509,205,84,108,174,1,35,474,2210,3612,1458,123,446,4347,3031,0,161,121,26,3,75,170,7280,509,7849,245
NC,2019,13311,28055,5927,347,4336,26910,1147,725,7825,1764,1686,121,322,12783,15126,20825,11692,812,4532,24879,8520,1,12034,108,323,33,786,6308,51976,13105,52987,7094
ND,2019,456,1544,651,0,307,2645,110,3,97,19,55,1,0,65,683,677,186,19,246,1365,352,0,96,12,7,0,1,28,2958,65,1811,29
NE,2019,2203,3549,231,1,333,3772,355,4,151,0,189,6,0,1855,1174,2347,587,1,331,2387,1719,0,30,0,26,1,0,319,6317,1855,4440,319
NH,2019,2309,1063,1013,36,93,3999,187,12,59,35,52,0,22,162,936,677,1417,41,158,2291,620,0,126,7,21,0,35,109,4514,184,3229,144
NJ,2019,2547,4850,2168,17,620,7068,393,200,1193,4,440,2,13,661,1225,1379,6961,34,297,5577,907,2,3074,2,32,1,26,265,10202,674,9896,291
NM,2019,4172,6100,1096,231,4557,5769,329,1458,3444,1043,627,23,139,3953,6285,9901,712,418,5294,6953,4412,3,7743,1062,263,43,337,2975,16156,4092,22610,3312
NV,2019,2558,7853,1568,570,1165,8165,388,1696,1073,16,299,13,565,1280,3744,11850,1401,2162,2808,10479,5141,0,2509,30,108,12,2162,1723,13714,1845,21965,3885
NY,2019,11552,14028,5079,828,1958,27231,772,447,1043,189,779,38,819,2188,4719,4324,9626,1205,1300,15606,2262,53,693,51,153,11,1177,1099,33445,3007,21174,2276
OH,2019,6245,15768,2389,293,2349,20745,278,1061,1902,418,959,211,283,1595,4339,8260,5854,582,1773,14139,2897,0,1669,112,130,23,565,1414,27044,1878,20808,1979
OK,2019,1933,2248,3319,0,1051,4502,73,2130,665,435,586,13,1,267,4441,13356,3382,383,1510,8465,2868,0,7723,34,407,84,353,3195,8551,268,23072,3548
OR,2019,8265,8832,5713,536,1219,18140,721,1092,2215,46,431,6,530,1067,4596,5709,5569,649,1035,10708,4718,0,734,10,87,3,624,663,24565,1597,17558,1287
PA,2019,6217,8807,4501,662,2103,18707,293,283,510,100,639,50,524,1548,3595,3511,4990,760,2211,11464,2001,1,445,14,114,37,750,657,22290,2072,15067,1407
PR,2019,403,1219,0,122,97,234,3,0,8,0,3,4,156,1281,895,762,0,224,148,790,27,0,110,12,15,4,231,854,1841,1437,2029,1085
RI,2019,820,376,387,50,181,1406,48,45,183,0,21,1,48,89,400,538,796,102,188,1300,454,0,176,0,2,0,106,64,1814,137,2024,170
SC,2019,4540,13214,1254,98,2321,11720,280,2965,1592,73,589,510,57,2754,4741,12136,5046,212,652,13976,2333,1,4801,74,158,248,117,894,21427,2811,22787,1011
SD,2019,332,397,52,7,6,495,8,0,172,0,39,0,0,50,332,265,113,3,19,498,29,0,184,0,2,0,1,9,794,50,732,10
TN,2019,6187,14292,2013,54,3370,14192,507,2749,3441,2753,767,30,63,2404,10003,18820,3595,281,5354,15247,5216,137,13385,1266,391,49,301,2717,25916,2467,38053,3018
TX,2019,22853,51155,19163,2308,5851,48424,2169,15344,14125,2358,4256,381,2213,10889,34527,75452,28565,2872,9049,68388,26704,3,37373,1646,1879,202,2570,11400,101330,13102,150465,13970
UT,2019,2980,9546,3533,1170,2090,9596,821,1764,4148,1851,456,4,472,1327,3258,9253,4540,2126,863,10230,6327,0,1413,335,82,4,1310,440,19319,1799,20040,1750
VA,2019,5142,5622,6977,2,425,12894,464,276,2478,57,454,8,15,1502,4070,4436,7551,0,959,11645,2764,1,1956,29,111,5,17,672,18168,1517,17016,689
VI,2019,183,135,0,0,892,218,15,619,84,28,18,3,0,117,841,846,21,0,110,479,133,2,701,81,18,2,0,406,1210,117,1818,406
VT,2019,1562,921,737,17,189,2936,99,3,78,31,60,0,16,205,504,281,499,14,48,1012,200,0,24,4,2,0,13,94,3426,221,1346,107
WA,2019,9676,24108,11551,479,1845,33481,1542,886,6137,254,1138,50,461,2559,4684,11384,6700,761,1105,14401,6952,2,1324,1,88,11,755,904,47659,3020,24634,1659
WI,2019,8585,15653,3019,707,1143,19121,1922,913,2408,120,677,24,777,2103,3751,8206,4848,796,1045,9413,5050,51,1195,24,128,2,776,1193,29107,2880,18646,1969
WV,2019,1718,4903,10,3,76,4433,62,3,1237,205,400,1,2,483,2676,5097,164,9,202,3196,949,2,3566,125,77,6,8,184,6710,485,8148,192
WY,2019,1080,1874,364,26,1140,2499,196,70,241,724,115,4,29,476,831,1112,779,60,1735,1975,1467,1,114,752,28,0,65,159,4484,505,4517,224
AK,2020,800,1404,61,51,68,1755,331,0,38,0,60,5,50,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384,205,0,0
AL,2020,3495,6803,527,19,525,6816,140,747,1139,0,272,35,14,1456,5919,10502,2159,67,413,7480,2303,16,6483,5,253,21,63,2054,11369,1470,19060,2117
AR,2020,953,2307,435,3,176,3140,166,73,248,268,137,17,3,188,1744,4164,459,15,236,3199,1477,0,1577,305,80,3,5,264,3874,191,6618,269
AZ,2020,8410,11719,1446,507,1564,16664,447,188,1813,543,501,50,497,3046,10188,24101,5986,1681,3887,28214,7283,0,6043,703,374,19,1636,2031,23646,3543,45843,3667
CA,2020,16607,67931,20091,1104,4305,62926,2834,8005,15712,1566,2516,413,1071,12182,21091,62379,13461,3147,6439,52723,23652,226,18518,1080,736,124,2982,7122,110038,13253,106517,10104
CO,2020,10702,14531,8413,120,4503,27167,2204,2948,2600,386,479,47,80,2698,8811,12163,10729,347,3739,22761,9843,273,2080,233,143,38,273,2005,38269,2778,35789,2278
CT,2020,669,718,874,70,181,2089,40,76,127,39,103,1,57,70,232,266,919,97,101,1161,226,0,150,39,13,0,96,21,2512,127,1615,117
DC,2020,704,1987,421,262,1337,3738,116,421,74,4,70,2,168,230,671,1012,251,587,366,1662,486,0,78,7,30,0,469,193,4711,398,2887,662
