,Report_Period_Start,Report_Period_End,License_Number,Shelter_Name,Canine_starting_animal_count,Feline_starting_animal_count,Canine_stray_at_large,Feline_stray_at_large,Canine_relinquished_by_owner,Feline_relinquished_by_owner,Canine_intake_owner_intended_euthanasia,Feline_intake_owner_intended_euthanasia,Canine_transferred_in_from_agency,Feline_transferred_in_from_agency,Canine_other_intakes,Feline_other_intakes,Canine_adoption,Feline_adoption,Canine_returned_to_owner,Feline_returned_to_owner,Canine_transferred_to_another_agency,Feline_transferred_to_another_agency,Canine_returned_to_field,Feline_returned_to_field,Canine_other_live_outcome,Feline_other_live_outcome,Canine_died_in_care,Feline_died_in_care,Canine_lost_in_care,Feline_list_in_care,Canine_shelter_euthanasia,Feline_shelter_euthanasia,Canine_owner_intended_euthanasia,Feline_owner_intended_euthanasia
3,7/1/2020 0:00,7/31/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,0,0,12,3,3,0,0,0,0,0,0,0,2,0,1,0,12,2,0,0,0,0,0,0,0,1,0,0,0,0
4,8/1/2020 0:00,8/31/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,27,11,18,11,9,0,0,0,0,0,0,0,0,0,2,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0
5,9/1/2020 0:00,9/30/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,2,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
6,10/1/2020 0:00,10/31/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,11,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11/1/2020 0:00,11/30/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,6,13,5,13,1,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0
8,12/1/2020 0:00,12/31/2020 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,6,1,2,1,2,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
9,1/1/2021 0:00,1/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,5,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2/1/2021 0:00,2/28/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3/1/2021 0:00,3/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,4,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
12,4/1/2021 0:00,4/30/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,19,0,6,0,3,0,0,0,10,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5/1/2021 0:00,5/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
14,6/1/2021 0:00,6/30/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,37,6,14,3,5,0,0,0,0,0,0,0,0,0,1,0,17,3,0,0,0,0,0,0,1,0,0,0,0,0
15,7/1/2021 0:00,7/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,9,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8/1/2021 0:00,8/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,17,11,13,7,4,4,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0
17,9/1/2021 0:00,9/30/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,16,2,16,2,1,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0
18,10/1/2021 0:00,10/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,7,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11/1/2021 0:00,11/30/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,15,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
