age_upon_intake,animal_id,animal_type,intake_condition,intake_type,sex_upon_intake
7 years,A006100,Dog,Normal,Public Assist,Neutered Male
10 years,A006100,Dog,Normal,Stray,Neutered Male
6 years,A006100,Dog,Normal,Public Assist,Neutered Male
10 years,A047759,Dog,Normal,Owner Surrender,Neutered Male
16 years,A134067,Dog,Injured,Public Assist,Neutered Male
15 years,A141142,Dog,Aged,Stray,Spayed Female
15 years,A163459,Dog,Normal,Stray,Intact Female
15 years,A165752,Dog,Normal,Stray,Neutered Male
15 years,A178569,Dog,Normal,Public Assist,Neutered Male
18 years,A189592,Dog,Normal,Stray,Spayed Female
16 years,A191351,Cat,Normal,Stray,Intact Female
14 years,A197810,Cat,Normal,Stray,Spayed Female
16 years,A200922,Dog,Normal,Owner Surrender,Neutered Male
14 years,A208755,Dog,Sick,Owner Surrender,Neutered Male
17 years,A210457,Dog,Aged,Public Assist,Neutered Male
13 years,A212672,Dog,Normal,Stray,Intact Female
19 years,A214991,Cat,Aged,Euthanasia Request,Spayed Female
13 years,A215368,Dog,Normal,Stray,Neutered Male
15 years,A218622,Dog,Sick,Owner Surrender,Neutered Male
15 years,A218624,Dog,Sick,Owner Surrender,Neutered Male
16 years,A221327,Dog,Injured,Stray,Spayed Female
12 years,A221448,Dog,Normal,Stray,Neutered Male
15 years,A226069,Dog,Normal,Stray,Neutered Male
12 years,A228887,Dog,Normal,Stray,Spayed Female
13 years,A230482,Dog,Aged,Euthanasia Request,Intact Male
13 years,A233812,Dog,Aged,Stray,Neutered Male
12 years,A234161,Cat,Normal,Stray,Neutered Male
12 years,A236259,Dog,Normal,Stray,Neutered Male
15 years,A238870,Dog,Normal,Stray,Neutered Male
13 years,A243903,Cat,Sick,Stray,Neutered Male
14 years,A245945,Dog,Normal,Stray,Neutered Male
15 years,A245945,Dog,Normal,Stray,Neutered Male
15 years,A249087,Dog,Normal,Stray,Spayed Female
14 years,A251095,Dog,Aged,Euthanasia Request,Spayed Female
12 years,A251214,Dog,Normal,Stray,Neutered Male
17 years,A251268,Cat,Normal,Stray,Neutered Male
18 years,A251402,Dog,Normal,Stray,Spayed Female
12 years,A253939,Dog,Normal,Stray,Spayed Female
17 years,A254503,Dog,Normal,Stray,Spayed Female
