age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
6 years,A006100,Dog,,Return to Owner,Neutered Male
7 years,A006100,Dog,,Return to Owner,Neutered Male
10 years,A006100,Dog,,Return to Owner,Neutered Male
10 years,A047759,Dog,Partner,Transfer,Neutered Male
16 years,A134067,Dog,,Return to Owner,Neutered Male
15 years,A141142,Dog,,Return to Owner,Spayed Female
15 years,A163459,Dog,,Return to Owner,Intact Female
15 years,A165752,Dog,,Return to Owner,Neutered Male
15 years,A178569,Dog,,Return to Owner,Neutered Male
18 years,A189592,Dog,,Return to Owner,Spayed Female
16 years,A191351,Cat,,Return to Owner,Intact Female
14 years,A197810,Cat,Partner,Transfer,Spayed Female
16 years,A200922,Dog,Foster,Adoption,Neutered Male
14 years,A208755,Dog,Suffering,Euthanasia,Neutered Male
17 years,A210457,Dog,Foster,Adoption,Neutered Male
13 years,A212672,Dog,,Return to Owner,Intact Female
19 years,A214991,Cat,Suffering,Euthanasia,Spayed Female
13 years,A215368,Dog,,Return to Owner,Neutered Male
15 years,A218622,Dog,Suffering,Euthanasia,Neutered Male
15 years,A218624,Dog,Suffering,Euthanasia,Neutered Male
16 years,A221327,Dog,Suffering,Euthanasia,Spayed Female
12 years,A221448,Dog,,Return to Owner,Neutered Male
15 years,A226069,Dog,Foster,Adoption,Neutered Male
12 years,A228887,Dog,,Return to Owner,Spayed Female
13 years,A230482,Dog,Suffering,Euthanasia,Intact Male
13 years,A233812,Dog,,Return to Owner,Neutered Male
12 years,A234161,Cat,,Return to Owner,Neutered Male
13 years,A236259,Dog,,Return to Owner,Neutered Male
15 years,A238870,Dog,Partner,Transfer,Neutered Male
13 years,A243903,Cat,,Return to Owner,Neutered Male
14 years,A245945,Dog,,Return to Owner,Neutered Male
15 years,A245945,Dog,Partner,Transfer,Neutered Male
15 years,A249087,Dog,Foster,Adoption,Spayed Female
14 years,A251095,Dog,Medical,Euthanasia,Spayed Female
12 years,A251214,Dog,,Return to Owner,Neutered Male
17 years,A251268,Cat,,Return to Owner,Neutered Male
18 years,A251402,Dog,,Return to Owner,Spayed Female
12 years,A253939,Dog,,Return to Owner,Spayed Female
17 years,A254503,Dog,Suffering,Euthanasia,Spayed Female
16 years,A256412,Dog,,Return to Owner,Intact Male
14 years,A258441,Cat,Suffering,Euthanasia,Spayed Female
14 years,A260631,Cat,Partner,Transfer,Neutered Male
13 years,A260914,Dog,,Return to Owner,Neutered Male
14 years,A261398,Dog,,Return to Owner,Neutered Male
20 years,A261770,Cat,Suffering,Euthanasia,Neutered Male
12 years,A267174,Dog,,Return to Owner,Neutered Male
13 years,A268022,Dog,Suffering,Euthanasia,Spayed Female
12 years,A271790,Dog,Medical,Euthanasia,Neutered Male
11 years,A274546,Dog,,Adoption,Spayed Female
11 years,A275975,Cat,,Adoption,Spayed Female
14 years,A276644,Cat,Partner,Transfer,Spayed Female
11 years,A276780,Dog,,Return to Owner,Neutered Male
14 years,A279045,Cat,,Return to Owner,Spayed Female
12 years,A279920,Dog,Behavior,Euthanasia,Neutered Male
12 years,A281542,Dog,Foster,Adoption,Neutered Male
12 years,A282897,Cat,,Adoption,Neutered Male
13 years,A282897,Cat,,Adoption,Neutered Male
13 years,A283735,Dog,Suffering,Euthanasia,Spayed Female
11 years,A284639,Dog,,Return to Owner,Neutered Male
17 years,A285685,Dog,,Return to Owner,Neutered Male
13 years,A287017,Dog,,Return to Owner,Spayed Female
14 years,A287017,Dog,,Return to Owner,Spayed Female
12 years,A287217,Cat,,Return to Owner,Spayed Female
11 years,A290917,Cat,Partner,Transfer,Spayed Female
15 years,A291843,Dog,,Return to Owner,Neutered Male
12 years,A292482,Cat,,Return to Owner,Spayed Female
15 years,A293138,Cat,Partner,Transfer,Spayed Female
15 years,A293383,Cat,,Return to Owner,Neutered Male
